 Libcell,Min_delay,Avg_delay,Max_delay
 OA21A1OI2_X1N_A9PP84TR_C16 ,0.025,0.033,0.039
 AND4_X1N_A9PP84TR_C16 ,0.023,0.023333333333333334,0.024
 NAND2_X4N_A9PP84TL_C16 ,0.013,0.013333333333333334,0.014
 NAND2_X3R_A9PP84TR_C16 ,0.016,0.016,0.016
 NOR2_X4TN_A9PP84TSL_C14 ,0.010,0.01,0.010
 XOR2_X1N_A9PP84TL_C14 ,0.024,0.0275,0.031
 AOI22_X2R_A9PP84TSL_C14 ,0.011,0.01447619047619048,0.027
 INV_X3F_A9PP84TR_C14 ,0.014,0.014,0.014
 OAI21B_X1N_A9PP84TR_C16 ,0.013,0.013,0.013
 NAND2_X3TN_A9PP84TR_C14 ,0.012,0.012,0.012
 OAI22_X1R_A9PP84TR_C14 ,0.028,0.028,0.028
 XOR2_X1N_A9PP84TR_C16 ,0.006,0.009382352941176475,0.015
 INV_X12F_A9PP84TSL_C16 ,0.008,0.008,0.008
 BUFH_X12N_A9PP84TR_C14 ,0.009,0.009,0.009
 DLY2_X4N_A9PP84TR_C16 ,0.023,0.027779999999999996,0.040
 INV_X8R_A9PP84TSL_C14 ,0.005,0.0063496402877697075,0.018
 NAND3_X6N_A9PP84TSL_C14 ,0.020,0.02,0.020
 XOR2_X1N_A9PP84TL_C16 ,0.005,0.012,0.019
 INV_X3F_A9PP84TR_C16 ,0.012,0.0155,0.019
 OAI22_X1R_A9PP84TR_C16 ,0.008,0.016333333333333335,0.032
 NOR2_X1P5F_A9PP84TSL_C14 ,0.007,0.009,0.012
 AO21_X2N_A9PP84TL_C14 ,0.010,0.01,0.010
 SDFFXRPQ_X2N_A9PP84TR_C14 ,0.036,0.03600000000000001,0.036
 OAI211_X1N_A9PP84TL_C14 ,0.025,0.026500000000000003,0.028
 NOR2B_X2N_A9PP84TL_C16 ,0.032,0.032,0.032
 NAND4_X2N_A9PP84TL_C14 ,0.017,0.017,0.017
 INV_X1P5R_A9PP84TR_C16 ,0.011,0.02829090909090911,0.060
 NOR3_X2F_A9PP84TSL_C14 ,0.008,0.01444444444444445,0.016
 BUF_X32N_A9PP84TR_C14 ,0.015,0.0165,0.018
 BUFH_X12N_A9PP84TR_C16 ,0.021,0.021,0.021
 INV_X3F_A9PP84TL_C16 ,0.010,0.015000000000000001,0.020
 PREICG_X1N_A9PP84TL_C14 ,0.014,0.02649782608695647,0.099
 OAI211_X1N_A9PP84TR_C16 ,0.019,0.043083333333333355,0.064
 NAND3_X6N_A9PP84TSL_C16 ,0.014,0.014,0.014
 SDFFXRPQ_X2N_A9PP84TL_C14 ,0.046,0.047,0.048
 INV_X1P5R_A9PP84TL_C16 ,0.026,0.026,0.026
 BUFH_X14N_A9PP84TSL_C14 ,0.009,0.012928355196770817,0.018
 INV_X6N_A9PP84TSL_C14 ,0.005,0.0091147959183673,0.036
 SDFFXRPQ_X2N_A9PP84TR_C16 ,0.033,0.037600000000000015,0.048
 OAI211_X1N_A9PP84TL_C16 ,0.021,0.024333333333333335,0.028
 NAND4_X2N_A9PP84TL_C16 ,0.018,0.018,0.018
 BUF_X32N_A9PP84TR_C16 ,0.016,0.0259814814814815,0.032
 NAND2_X1F_A9PP84TR_C14 ,0.024,0.024,0.024
 INV_X24R_A9PP84TSL_C14 ,0.007,0.007,0.007
 PREICG_X1N_A9PP84TL_C16 ,0.016,0.04363546798029557,0.082
 BUF_X20N_A9PP84TL_C14 ,0.027,0.027,0.027
 SDFFRPQH_X1N_A9PP84TL_C14 ,0.046,0.0465,0.047
 XNOR2_X1N_A9PP84TR_C14 ,0.014,0.014,0.014
 SDFFXRPQ_X2N_A9PP84TL_C16 ,0.025,0.03050000000000001,0.040
 NAND2_X1F_A9PP84TL_C14 ,0.023,0.028,0.031
 INV_X1P5N_A9PP84TSL_C14 ,0.007,0.007,0.007
 DLY4_X2N_A9PP84TR_C16 ,0.041,0.051656249999999994,0.136
 BUF_X20N_A9PP84TR_C16 ,0.012,0.012,0.012
